id,transcript,segments
21,"Partai SuperTBK, Pak. Itu maksudnya gimana, Pak? Partai SuperTBK. Itu kan bikin banyak orang... Iya, masih dalam pematangan, ya. Artinya memang akan direalisasikan ya, Pak? Masih dalam pematangan, masih dihitung, masih dikalkulasi, belum tentu juga direalisasikan. Tapi sudah ada niatnya, Pak, untuk membentuk partai itu? Masih dalam pematangan, masih dihitung, masih dikalkulasi, belum tentu juga direalisasikan.",
125,"last year. Hi. Awww, what do you need? Awwww.",
150,"last year. Hi. Awww, what do you need? Awwww.",
151,"last year. Hi. Awww, what do you need? Awwww.",
12,"Ladies and gentlemen, this is an important step for Nusantara Nusantara, the deforestation plan and strategies for species and habitat management given by our chairman of the Nusantara Capital Authority Nusantara, the deforestation plan and strategies for species and habitat management given by our chairman of the Nusantara Capital Authority Nusantara, the deforestation plan and strategies for species and habitat management given by our chairman of the Nusantara Capital Authority Nusantara, the deforestation plan and strategies for species and habitat management given by our chairman of the Nusantara Capital Authority Nusantara, the deforestation plan and strategies for species and habitat management given by our chairman of the Nusantara Capital Authority Nusantara, the deforestation plan and strategies for species and habitat management given by our chairman of the Nusantara Capital Authority Nusantara, the deforestation plan and strategies for species and habitat management given by our chairman of the Nusantara Capital Authority Nusantara, the deforestation plan and strategies for species and habitat management given by our chairman of the Nusantara Capital Authority",
13,"Ladies and gentlemen, this is an important step for Nusantara Nusantara, the deforestation plan and strategies for species and habitat management given by our chairman of the Nusantara Capital Authority Nusantara Capital Authority Autorita IKN sangat mengapresiasi dukungan dari semua international development partners yang sejak IKN berdiri di tahun 2022 itu sudah intens memberikan dukungan terutama di dalam desain IKN sebagai kota yang berkelanjutan, kota yang jauh, forest city, dll Jadi ada banyak sekali bantuan-bantuan yang diberikan, technical assistance terutama untuk memberikan fondasi pada kebijakan-kebijakan pelindungan hidup yang ada di IKN Ini ada berapa negara Bu? Ini banyak sekali, ada mungkin 20-an negara, sebagian sudah bekerja sama dengan kami, tapi sebagian masih baru",
14,"Tesla will buy 10 million's dog with hat pixelated, because why the hell not? Get your bag now, boys.",
15,"Tesla will buy 10 million's dog with hat pixelated, because why the hell not? Get your bag now, boys.",
16,"Tesla will buy 10 million's dog with hat pixelated, because why the hell not? Get your bag now, boys.",
17,"Hello everyone, I'm Helen, the sales manager of Pingxiang Dongxin Packaging Company. We are a PB bag manufacturer in China. We produce PB woven bag, PB big bag, and craft bag, and shopping bag, and mesh bag. These bags are widely used in our daily life, such as food packaging. This one is for healthy, and this one is for rice packaging, and some other chemical packaging. As a manufacturer, we can provide you best price, best quality, and best service. Also, please don't hesitate and join us at our exhibition in Indonesia on September 19th to 21st. We are expecting your coming and see you there.",
18,"BYD Raksasa Otomotif Listrik China mengantongi hak pertambangan di Lithium Valley, Brazil. Keputusan ini meregaskan langkah strategis BYD untuk mengamankan pasokan litium guna memperkuat industri kendaraan listrik global. Berdasarkan laporan dari Reuters, BYD telah menandatangani kesepakatan untuk memanfaatkan cadangan litium yang berada di wilayah Minas Gerais, Brazil. Wilayah ini dikenal sebagai Lithium Valley karena memiliki kandungan litium besar dan berkualitas tinggi. Hak pertambangan ini memberi BYD keunggulan kompetitif untuk memenuhi kebutuhan baterai kendaraan listrik di pasar domestik dan internasional. Langkah ini juga diharapkan mengurangi ketergantungan perusahaan pada pasokan litium dari negara lain. Analis menilai keputusan ini berisiko memunculkan ketegangan dagang di tengah persaingan global untuk mengamankan logam kritis, namun dapat memperkuat posisi BYD dalam menguasai industri kendaraan listrik. Perusahaan ini mengoperasikan anak usaha dengan modal sum sebesar 4 juta real Brazil atau setara dengan 695 ribu dolar AS. Berdasarkan dokumen publik, anak usaha BYD mengantongi laba sebesar 213 ribu real di tahun 2023 berkat variasi nilai tukar. Dengan semakin meluasnya ekspansi BYD di berbagai negara, persaingan global di sektor kendaraan listrik diperkirakan akan semakin memanas di tahun-tahun mendatang. Terima kasih.",
19,"Zhengxin Plastic Industry was established in 1997, specializing in the production of woven banks, continual banks, tongue banks, paper-plastic-composite banks, and mesh banks. The factory covers an area of more than 20,000 square meters. The company has passed ISO 9001-2015 Quality System Certification. 20 years of plastic woven products export experience. High-quality products are exported to all over the world, including Russia, Poland, Germany, France, the United States, Spain, Italy, Norway, Thailand, Singapore, Malaysia, Cambodia, Japan and other regions in more than 30 countries. Choose Zhengxin. You are more at ease. ",
20,"India dan Amerika Serikat sepakat untuk meningkatkan nilai perdagangan dua kali lipat menjadi 500 miliar dolar Amerika Serikat di tahun 2030. Kesepakatan itu dicapai oleh Presiden Amerika Serikat Donald Trump saat bertemu dengan Perdana Menteri India Narendra Modi di Gedung Putih pada hari Kamis waktu setempat. Perdana Menteri Modi juga berjanji akan menyelesaikan kesepakatan perdagangan antara kedua negara sehingga target raja dagang antara kedua negara bisa segera tercapai. Di sisi lain Presiden Trump mengapresiasi langkah India yang berupaya mengurangi pengenaan tarif pada sejumlah produk asal negeri Paman Sam. Total perdagangan antara India dan Amerika Serikat mencapai 129 miliar dolar Amerika Serikat di tahun 2024. Surplus India terhadap Amerika Serikat mitra dengan kedua terbesar Paman Sam mencapai 45,7 miliar dolar Amerika Serikat. Dan tak hanya dari sisi perdagangan, Amerika Serikat dan India juga sepakat memperkuat kerjasama di bidang pertahanan termasuk penjualan alutsista ke negeri di Asia Selatan ini. Tidak, mereka tidak melakukannya. Dalam hubungan perdagangan antara India dan AS dengan tujuan menandatangani sebuah perjanjian, dan kami ingin sebuah permainan yang mencapai tahap tertentu, yang menurut kami berhak. Dan dia juga melakukannya secara adil, jadi kami akan bekerja keras. Dalam 10 menit yang berlalu, perjalanan Trump pertama sangat berpengaruh. Dan saya yakin, dalam Trump kedua, kami akan bergerak ke depan dengan pergerakan yang sama.",
32,"Jangan lupa SUBSCRIBE, LIKE, KOMEN dan SHARE... ^^ Jangan lupa SUBSCRIBE, LIKE, KOMEN dan SHARE... ^^ Jangan lupa SUBSCRIBE, LIKE, KOMEN dan SHARE... ^^ Jangan lupa SUBSCRIBE, LIKE, KOMEN dan SHARE... ^^ Jangan lupa SUBSCRIBE, LIKE, KOMEN dan SHARE... ^^ Jangan lupa SUBSCRIBE, LIKE, KOMEN dan SHARE... ^^ Jangan lupa SUBSCRIBE, LIKE, KOMEN dan SHARE... ^^",
22,"Warga RI sedang diramaikan oleh tagar Kabur Aja Dulu di media sosial. Namun apa sebetulnya maksud dari tagar Kabur Aja Dulu? Simak ulasan jurnalis CNBC Indonesia Salma Wijaya dan Jurukamera Bayu berikut ini. Ya pemirsa, memang media sosial di Indonesia tengah diramaikan dengan tagar atau hashtag Kabur Aja Dulu di platform media sosial yang dimulai dari platform X dan juga thread yang tercatat pada Kamis 13 Februari 2025 lalu sudah ada lebih dari 24 ribu unggahan akan hashtag Kabur Aja Dulu. Namun apa itu sebetulnya hashtag tagar dari Kabur Aja Dulu, pemirsa? Tagar ini mencerminkan kekecewaan masyarakat terhadap kebijakan pemerintah, pemirsa. Dengan mengekspresikan hashtag Kabur Aja Dulu sebagai keinginan pindah ke luar negeri. Fenomena ini disebabkan dari beberapa faktor mulai dari dinamika, sosial politik, kondisi ekonomi, hingga persaingan kerja yang dinilai saat ini cukup ketat pemirsa di Indonesia, terutama untuk anak muda sendiri. Selain dari itu ada beberapa isu yang menjadi perhatian masyarakat yang saat ini tengah ramai, ya ini juga isu dari pemutusan hubungan kerja yang sedang marak. Selain dari itu juga ada prediksi kenaikan uang kuliah tunggal oleh kementerian pendidikan, efisiensi anggaran hingga pemblokiran anggaran IKN yang dinilai bahwa proyek di Indonesia kurang berjalan dengan lancar, ya ini proyek untuk ibu kota baru, pemirsa. Ada pun ketimpangan global terkait kualitas hidup di berbagai negara seperti segi kualitas pendidikan, pekerjaan, dan juga kebebasan dalam berekspresi pemirsa. Selain dari itu juga tagar juga termasuk informasi rowongan pekerjaan atau tips dan saran dari masyarakat Indonesia yang sudah di luar negeri pemirsa. Ada pun pengalaman yang dilontarkan yang tentunya juga kami melihat ada beberapa negara yang menjadi acuan untuk masyarakat Indonesia yang ingin ke luar negeri seperti Australia, Swiss, Vietnam, dan juga ada Jepang, Korea Selatan yang dinilai memiliki kualitas yang lebih baik, baik dari segi pendidikan maupun pekerjaan. Kita melihat ke respon pemerintah sendiri pemirsa. Ada dua respon yang kami cakup, ya ini dari kementerian luar negeri yang mewanti-wanti akan prosedur ke luar negeri untuk masyarakat Indonesia. Menurut Direktur Perlindungan WNI dan Badan Hukum Indonesia, Kemlu RI, Judga Nugraha menyebutkan bagi warga RI yang ingin keluar negeri tentunya juga merupakan keputusan masing-masing namun perlu diingat prosedur dan juga legalitasnya karena dari kementerian luar negeri sendiri sudah mencatat bahwa sudah ada 67.297 yang melanggar keimigrasian pada saat ini. Sementara dari Kementerian Perlindungan Pekerjaan Migran Indonesia, Abdul Kadir Kading menyebutkan masyarakat Indonesia harus memastikan untuk bekerja saat keluar negeri agar kepindahannya keluar negeri tidak menjadi sia-sia. Demikian laporan kami kembali ke studio.",
23,"Kementerian Energi dan Sumber Daya Mineral mengungkapkan pemerintah tengah menyiapkan 35 proyek hilirisasi senilai 123,8 miliar dolar AS atau sekitar Rp 2.015 triliun. Wamen SDM Yulio Tanjung mengatakan bahwa berdasarkan rapat koordinasi Satuan Percepatan Hilirisasi dan Ketahanan Energi Nasional, pemerintah telah mengidentifikasi dan menyiapkan sebanyak 35 proyek untuk ditawarkan ke investor. Menurut Yuliot, hilirisasi yang disiapkan pemerintah meliputi berbagai sektor strategis, termasuk mineral, batu bara, minyak, dan gas bomi. Pemerintah juga menyiapkan pengembangan hilirisasi di sektor pertanian, khususnya produksi oleochemical. Di sektor pertahanan atau ketahanan energi, Yuliot menekankan pentingnya percepatan bauran energi guna mendukung transisi energi nasional.",
24,"Menteri Pekerjaan Umum Dodi Hanggodo mengungkapkan pada rapat terakhir dengan Presiden RI Prabowo Subianto, Presiden telah meminta timnya untuk melakukan studi banding ketiga negara untuk mendukung revisi desain kompleks yudikatif dan legislatif ibu kota Nusantara. Ketiga negara tersebut adalah Mesir, Turki, dan India. Menurut Dodi, Prabowo menilai bahwa kantor-kantor yudikatif dan legislatif di ketiga negara tersebut memiliki karakteristik yang hampir mirip dengan Indonesia. Sehingga tim diminta untuk merekonstruksi gambarnya dan disampaikan kembali kepada Presiden Prabowo. Dodi mengatakan informasi detail terkait desain IKN akan disampaikan oleh Wakil Menteri PU, yang juga menjabat sebagai Ketua Tim Desain IKN Diana Kusumastuti.",
25,"Jangan lupa SUBSCRIBE, LIKE, KOMEN dan SHARE... ^^ Jangan lupa SUBSCRIBE, LIKE, KOMEN dan SHARE... ^^ Jangan lupa SUBSCRIBE, LIKE, KOMEN dan SHARE... ^^ Jangan lupa SUBSCRIBE, LIKE, KOMEN dan SHARE... ^^ Jangan lupa SUBSCRIBE, LIKE, KOMEN dan SHARE... ^^ Jangan lupa SUBSCRIBE, LIKE, KOMEN dan SHARE... ^^ Jangan lupa SUBSCRIBE, LIKE, KOMEN dan SHARE... ^^",
